Title,KM Driven,Fuel,Transmission,Price,Old Price,Savings,Location,Image,Car Link
2024 Kia Seltos HTX Diesel iMT,"13,000 kms",Diesel,Automatic,₹17 Lakh,,,"City, Pune",https://images10.gaadi.com/usedcar_image/4801033/original/processed_processed_c86402b1-ba73-4efd-b0b8-43bdf9213f1c.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-diesel-imt-cars-Pune_fd3b070c-05ee-419f-b454-8f9656ff46fa.htm?adId=12736&adType=41
2022 Kia Seltos GTX Option,"23,142 kms",Petrol,Manual,₹14.83 Lakh,,,"Wakad, Pune",https://images10.gaadi.com/usedcar_image/4921870/original/baaac70349f894c720a0c54bff331e5b.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Kia-seltos-gtx-option-cars-Pune_fc8f4eac-9812-4b14-a1a6-3363fbd12f50.htm
2023 Honda Amaze V CVT,"9,434 kms",Petrol,Automatic,₹8.45 Lakh,,,"Wakad, Pune",https://images10.gaadi.com/usedcar_image/4820363/original/2de64d48b75b9ee3ec14f44ccd9338ad.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Honda-amaze-v-cvt-cars-Pune_64b91f3c-f0a3-4028-bb86-11626a43c879.htm
2023 Kia Sonet HTX Turbo iMT,"24,978 kms",Petrol,Manual,₹9.62 Lakh,₹9.73 Lakh,"(Save ₹11,000)","Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Kia-sonet-htx-turbo-imt-cars-Pune_327b71ab-78fa-414d-80e3-1dfa39e06945.htm
2025 MG Windsor EV Exclusive,"20,000 kms",Electric,Automatic,₹14.75 Lakh,,,"Infotech Park, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mg-windsor-ev-exclusive-cars-Pune_eb73baff-0348-4ec8-a9aa-5e5597598891.htm?adId=13985&adType=41
2023 Hyundai Venue S 2023-2025,"26,525 kms",Petrol,Manual,₹7.05 Lakh,₹7.38 Lakh,"(Save ₹32,699)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-venue-s-2023-2025-cars-Pune_0f1cfa83-e72a-4db2-bc1f-d6f2fdd1acfb.htm
2022 Kia Sonet HTK Plus BSVI,"23,658 kms",Petrol,Manual,₹7.58 Lakh,,,"Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Kia-sonet-htk-plus-bsvi-cars-Pune_4fb86231-6d2b-494c-8726-48b3c8b6ee3e.htm
2022 Maruti Dzire ZXI Plus,"29,656 kms",Petrol,Manual,₹7.22 Lakh,,,"Wagholi, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-dzire-zxi-plus-cars-Pune_f6bfea2b-ead1-436b-acb9-06f9a3277137.htm
2023 Maruti Grand Vitara Zeta AT,"31,000 kms",Petrol,Automatic,₹12 Lakh,,,"Deccan Gymkhana, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-zeta-at-cars-Pune_f224e8b5-5894-4cb9-81fe-170831b72e61.htm?adId=13286&adType=41
2022 Hyundai Tucson Signature AT BSVI,"50,000 kms",Petrol,Automatic,₹22.50 Lakh,,,"Deccan Gymkhana, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Hyundai-tucson-signature-at-bsvi-cars-Pune_3f4dd6c8-8400-4baf-9ec3-dd3ef517e96d.htm
